Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
73,Jordy Nelson,GNB,27,12,10,0,0,0,0,0,0,0,,0,73,49,745,15.20,7,WR,119,,28,73
74,Donnie Avery,IND,28,16,15,0,0,0,0,0,4,9,2.25,0,124,60,781,13.02,3,TE,97,,12,74
75,Andy Dalton,CIN,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,,0,QB,251,,12,75
76,DeAngelo Williams,CAR,29,16,10,0,0,0,0,0,173,737,4.26,5,20,13,187,14.38,2,RB,130,,24,76
77,Eddie Williams,CLE,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,1,77
78,Anquan Boldin,BAL,32,15,15,0,0,0,0,0,1,3,3.00,0,112,65,921,14.17,4,WR,118,,29,78
79,Josh Freeman,TAM,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,0,,0,QB,249,,13,
80,Joe Flacco,BAL,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,,0,QB,235,,14,
81,Eli Manning*,NYG,31,16,16,321,536,3948,26,15,20,30,1.50,0,0,0,0,,0,QB,233,,15,
82,Sam Bradford,STL,25,16,16,328,551,3702,21,13,37,127,3.43,1,0,0,0,,0,QB,231,,16,
83,Matt Schaub*,HOU,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,1,-6,-6.00,0,QB,225,,17,
84,Carson Palmer,OAK,33,15,15,345,565,4018,22,14,18,36,2.00,1,0,0,0,,0,QB,224,,18,
85,Ben Roethlisberger,PIT,30,13,13,284,449,3265,26,8,26,92,3.54,0,0,0,0,,0,QB,224,,19,
86,Ryan Fitzpatrick,BUF,30,16,16,306,505,3400,24,16,48,197,4.10,1,0,0,0,,0,QB,214,,20,
87,Philip Rivers,SDG,31,16,16,338,527,3606,26,15,27,40,1.48,0,1,0,0,,0,QB,208,,21,
88,Christian Ponder,MIN,24,16,16,300,483,2935,18,12,60,253,4.22,2,1,1,-15,-15.00,0,QB,193,,22,
89,Jay Cutler,CHI,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,,0,QB,185,,23,
90,Ryan Tannehill,MIA,24,16,16,282,484,3294,12,13,49,211,4.31,2,0,0,0,,0,QB,183,,24,
91,Colin Kaepernick,SFO,25,13,7,136,218,1814,10,3,63,415,6.59,5,0,0,0,,0,QB,174,,25,
92,Brandon Weeden,CLE,29,15,15,297,517,3385,14,17,27,111,4.11,0,1,0,-9,,0,QB,166,,26,
93,Michael Vick,PHI,32,10,10,204,351,2362,12,10,62,332,5.35,1,0,0,0,,0,QB,152,,27,
